עיר,רחוב 1,רחוב 2,מרחק (מטר),קו רוחב 1,קו אורך 1,קו רוחב 2,קו אורך 2
ראשון לציון,הנביאים,השזיף,275,31.9511475,34.8278695,31.953509,34.8287438
יקנעם עילית,"טיילת קק""ל",פארק פרופסור נתן רוזן,275,32.640059,35.0771398,32.6401508,35.080076
בת ים,הרשת,פרלשטיין,275,32.0211488,34.7462859,32.021056,34.749201
ירושלים,"המשורר אצ""ג",יחזקאל קוטשר,274,31.8235313,35.1855505,31.8213333,35.1868661
פתח תקווה,זכרון יעקב,נס ציונה,274,32.1031217,34.8750139,32.1023522,34.8722491
נוף הגליל,גלעד,דגנית,274,32.7029182,35.3265693,32.7026502,35.3294803
ירושלים,בורוכוב,גורדון,274,31.7677267,35.1774847,31.7661667,35.1752418
פתח תקווה,בת שלמה,זכרון יעקב,274,32.1038087,34.8747545,32.103067,34.8719824
באר שבע,דונה גרציה נשיא,עליזה בגין,272,31.2707401,34.7497928,31.2682918,34.7497229
רעננה,הנשיאים,חטיבת הראל,272,32.1871386,34.8624972,32.1895078,34.8632148
זכרון יעקב,הגדעונים,ראובן,272,32.5652896,34.9459716,32.5628457,34.9458734
מבשרת ציון,כרמים,תאנה,271,31.7895894,35.1473554,31.7899583,35.1501927
בית שמש,היצירה,הסוללה,271,31.7325571,34.95849,31.7349923,34.958607
הרצליה,בורוכוב,פועלי ציון,271,32.1697965,34.8537022,32.1695257,34.8565586
פתח תקווה,זכרון יעקב,מאיר שפיה,270,32.1016199,34.8725339,32.1023422,34.8752719
ירושלים,דוד בן-גוריון,יצחק שמיר,270,31.8003367,35.1739077,31.8009395,35.176672
באר שבע,סטרומה,פטריה,269,31.2556502,34.7776779,31.2542274,34.7799634
אשקלון,השקמה,קפסטט,268,31.6765897,34.5646761,31.6742218,34.564131
קריית טבעון,יגאל אלון,קרן קיימת לישראל,267,32.7123261,35.1183668,32.7116161,35.1156419
מגדל העמק,הצורן,השיש,267,32.666269,35.244469,32.6671644,35.2418254
מבשרת ציון,חרמון,מירון,266,31.8089789,35.1528284,31.8084695,35.1500779
אלעד,אבטליון,שמעיה,266,32.0515361,34.9472684,32.0491447,34.947201
אזור,ביאליק,העלייה השניה,266,32.0265177,34.8026719,32.0279548,34.8004215
רמת גן,אלוף דוד,הראל,264,32.0554386,34.811634,32.0577136,34.8124366
באר שבע,העליה,סטרומה,264,31.2561974,34.7781554,31.2547774,34.7803787
טבריה,כליל החורש,שיזף,264,32.7852655,35.5231196,32.7838568,35.5253882
כפר סבא,ויתקין,קפלנסקי,263,32.1915269,34.9010838,32.1920418,34.8983528
שדרות,חיטה,תפוז,263,31.5420492,34.5876785,31.5396834,34.5875899
פתח תקווה,זכרון יעקב,מזכרת בתיה,263,32.1008606,34.8728586,32.1015743,34.8755221
כרמיאל,מבצע אסף,שער הגיא,262,32.9087577,35.2808458,32.9067726,35.2823663
מעלה אדומים,החליל,הקרן,262,31.781381,35.2961455,31.7790552,35.2956944
אשקלון,לכיש,קיסריה,262,31.6667339,34.5816157,31.6668819,34.5788525
אשקלון,התקוה,עמיעוז,262,31.649496,34.554961,31.6473922,34.5562075
קרני שומרון,ההתנחלות,קוממיות,262,32.1703684,35.0987864,32.1709515,35.0960901
ראשון לציון,האחד עשר,שמעון אבידן,262,31.9638222,34.8202659,31.9658247,34.8217247
חולון,האלוף אהרון יריב,המרגנית,262,32.0087748,34.7791608,32.0102956,34.781279
אשקלון,עולי הגרדום,עמיעוז,261,31.647123,34.5555779,31.6492309,34.5543556
באר שבע,הר כנען,הר עצמון,261,31.2745661,34.8140252,31.2752375,34.8113943
קריית אונו,יצחק נבון,יצחק שמיר,261,32.0632236,34.8423755,32.0621545,34.844837
ראש העין,אריאל שרון,יחיאל סנדרוב,261,32.1105338,34.9403026,32.1088708,34.9422522
באר שבע,הר כנען,הר רמון,260,31.275858,34.8116619,31.2751933,34.8142826
שלומי,יסמין,ניצן,259,33.0821772,35.1565443,33.0810559,35.1541115
ערד,הערבה,שלווה,258,31.2535662,35.2166349,31.2514562,35.2177762
חולון,המרגנית,ניסנית,258,32.0091564,34.7788272,32.0106651,34.7809006
זכרון יעקב,אודם,ברקת,257,32.5616399,34.9389089,32.5628721,34.9412332
ירושלים,אל הייר,שרה,256,31.7996188,35.2460435,31.8011649,35.2480536
נתניה,הפארק,התלתן,256,32.295662,34.8773357,32.2979235,34.8778378
אשקלון,דרום אפריקה,העצמאות,256,31.6788182,34.5706646,31.6765295,34.570395
חיפה,לבונטין,שבתאי לוי,255,32.8131914,34.9946347,32.8147839,34.9926673
דימונה,שיזף,שקמה,255,31.082122,35.0408323,31.0822108,35.038154
ירושלים,אשר וינר,האומן,255,31.7454886,35.2134679,31.7446731,35.2159864
קריית אונו,יצחק נבון,שולמית אלוני,254,32.0632236,34.8423755,32.0628486,34.8397133
חיפה,דוד רוז,טיילת חיים רייסקין,254,32.7780606,35.0167658,32.7772002,35.0192849
הרצליה,מורדי הגטאות,קיבוץ גלויות,254,32.1671784,34.8593876,32.1694147,34.8588309
בית אריה,האלה,לבונה,253,32.0379877,35.0499125,32.0391877,35.047627
באר שבע,אולגה שמיר,פאני מוגרבי,253,31.2715534,34.7595248,31.2727274,34.7618065
כרמיאל,חן,מצפה נוף,253,32.922068,35.2951715,32.9222137,35.2924663
ירושלים,אהרון אשכולי,צונדק,253,31.8126332,35.19414,31.8119095,35.1966748
חיפה,אינטרנציונל,חביבה רייך,252,32.7816363,35.0090577,32.7794766,35.009878
עכו,נעמי שמר,שושנה דמארי,251,32.9440474,35.0830986,32.9437729,35.0857673
רמלה,אריה בן אליעזר,חיים לנדאו,251,31.9399757,34.874972,31.9386068,34.8770845
רעננה,חזן יעקב,עציון,250,32.1896315,34.8604722,32.1874503,34.8598101
חיפה,משה גוט לווין,משה גוטל לוין,250,32.7842885,35.00463,32.7861064,35.0030537
ראשון לציון,הנופר,הסחלב,250,31.9694297,34.7833069,31.9705378,34.785608
חולון,גלעדי אהרון,דמארי שושנה,249,32.0068275,34.7747774,32.0083268,34.7767446
ראשון לציון,מעגל השלום,משעול הכלכלה,249,31.9697079,34.764002,31.9684904,34.7662129
אשקלון,ההרדוף,הנשיא,249,31.6734818,34.5643566,31.6720773,34.5623132
חולון,אלנה בלנקי,הר הצופים,248,32.0056601,34.7931676,32.0078874,34.7932012
נתניה,גולדה מאיר,משעול קיפניס,247,32.2776862,34.8539005,32.2763943,34.8517626
לוד,ארלוזורוב,רחל אלתר,244,31.9474602,34.8877974,31.9458576,34.8895696
אשקלון,אליהו הנביא,הנביאים,244,31.6598516,34.5840242,31.6576649,34.5842738
אשקלון,דולב,לוטוס,244,31.6501684,34.57842,31.6514044,34.5805439
חולון,אמיר דרורי,הדס,244,32.0062288,34.7807649,32.0078739,34.7790604
לוד,המצביאים,חטיבת הראל,243,31.9352592,34.88872,31.9336345,34.8904398
כרמיאל,ביכורים,שביל שבט,242,32.9152149,35.2754763,32.915419,35.2728924
אלפי מנשה,לוטם,ליבנה,242,32.1726259,35.0193747,32.1731673,35.0168886
כפר תבור,אירוס,נורית,241,32.6799687,35.4167165,32.6820623,35.4173995
הרצליה,י.ל. פרץ,"שח""ל",241,32.1622797,34.8552029,32.1619329,34.8577342
לוד,אליעזר קפלן,שפרינצק,241,31.942222,34.8838808,31.9429338,34.8862905
ירושלים,"אצ""ל","האצ""ל",241,31.8019176,35.2351476,31.8039199,35.236116
רמת גן,יוסף צבי,נחשון,241,32.0666375,34.8187457,32.0646136,34.8178396
ראש העין,נילס בוהר,פול סמואלסון,241,32.0888134,34.9703429,32.0880958,34.9727521
הרצליה,בורוכוב,ברל כצנלסון,240,32.1686731,34.8562303,32.1690269,34.8537112
באר שבע,צביה ויצחק,שדרות הצנחנים,240,31.2251253,34.7782805,31.2256219,34.7807318
ראשון לציון,האורנים,יאיר דורון,239,31.9766286,34.7965006,31.9754263,34.7986062
כפר יונה,אלי כהן,הרצל,239,32.3194151,34.9326102,32.3185381,34.934937
ירושלים,רבינו גרשום,רבנו גרשום,239,31.7931112,35.2193579,31.7918938,35.2214392
נתניה,אברהם בן מנחם,היהלומן אברהמס,239,32.3123161,34.8552685,32.3125494,34.8527455
חיפה,הים,הרדוף,238,32.8110343,34.970718,32.809695,34.9727033
כפר סבא,דוד זהבי,יוסף הדר,238,32.1853061,34.8929145,32.1864359,34.8907719
באר שבע,אלישר,"צבי-רן ד""ר שלמה",237,31.2730818,34.8174472,31.2735594,34.819882
כרמיאל,משגב,רמים,237,32.9187852,35.2946177,32.9209162,35.294578
ירושלים,בוקסבוים מרדכי,קהילת יעקב,237,31.8127648,35.2193157,31.8108589,35.2204333
חולון,אשדוד,גבעת חולון,237,32.0000758,34.789407,32.0000877,34.786898
כפר ורדים,יהלום,ספיר,235,33.0050591,35.2502385,33.0043725,35.2526185
חולון,החרצית,מוטה גור,233,32.0083843,34.7838007,32.0100009,34.7822223
שדרות,ירושלים,שאר ישוב,233,31.5255387,34.6041724,31.5271521,34.6026009
אשקלון,הדרור,הסנונית,233,31.6726917,34.5609263,31.67063,34.5613575
באר שבע,בזל,הכותל המערבי,233,31.2504528,34.7874017,31.2487158,34.7887694
רעננה,פטריה,קיבוץ גלויות,233,32.1971489,34.8586707,32.1973983,34.8562143
אשקלון,גדעון,השופטים,232,31.6543731,34.581141,31.6561281,34.579819
אשקלון,דוריף,נחלה,231,31.6804704,34.5930537,31.6783887,34.5930544
אשקלון,הרב יצחק ניסים,סנפיר,231,31.6570858,34.5515196,31.6552143,34.5504494
מגדל העמק,הקיצנית,שושנת העמקים,231,32.6776491,35.2524099,32.6775019,35.2548718
ירושלים,"בית""ר",ישראל אלדד,231,31.7513611,35.2242622,31.7534266,35.2244807
אשקלון,התמר,קפסטט,230,31.6762505,34.5651554,31.6742031,34.5647801
חולון,החרצית,רוזמרין,230,32.0086814,34.784243,32.0102801,34.7826889
באר שבע,אסירי ציון,"הכ""ג",229,31.2496751,34.805633,31.2496921,34.803224
אלעד,רבי פנחס בן יאיר,"רמב""ם",228,32.0511414,34.9607525,32.0511033,34.9583285
עפולה,יהלום,שוהם,228,32.6168759,35.3068323,32.6149007,35.3075
רמת גן,אלוף דוד,עודד,227,32.055842,34.8109869,32.057806,34.8116392
באר שבע,בזל,תל חי,227,31.2508573,34.7899104,31.2505141,34.7875613
חולון,הדס,הרדוף הנחלים,225,32.0059087,34.7803131,32.0073687,34.778657
פתח תקווה,יוסף נקר,פנחס חגין,225,32.0725253,34.8694249,32.0736425,34.8674324
אלעד,בעלי התוספות,יונתן בן עוזיאל,225,32.0488351,34.9595923,32.0487706,34.9572097
דימונה,הנבל,הרב אברהם קוק,224,31.070142,35.0501577,31.0700171,35.0525096
גבעתיים,אידמית,ההסתדרות,224,32.060963,34.81168,32.0591123,34.8126292
באר שבע,בינימין מזר,משה וילנסקי,224,31.2455244,34.7597015,31.244396,34.7616578
דימונה,הכינור,הנבל,224,31.0696555,35.0501269,31.0695269,35.0524775
שדרות,חטיבת הצנחנים,נתן אלבז,224,31.5289147,34.5939574,31.5308719,34.5944962
תל מונד,הנרקיס,הסייפן,222,32.2529624,34.9168498,32.2518578,34.9148779
ירושלים,חפץ חיים,פרי חדש,222,31.7872439,35.2144168,31.7871834,35.2167658
באר שבע,המרד,חכים,222,31.273707,34.8159953,31.2718424,34.8151646
ראש העין,שילה,תורי זהב,222,32.0865475,34.958126,32.0883499,34.9591348
באר שבע,בית אל,משעול גבעון,222,31.2446316,34.7755295,31.2460292,34.7738685
חיפה,משה גוטל לוין,קדיש לוז,222,32.7851193,35.0049605,32.7870988,35.0052272
כפר יונה,הכלנית,הרקפת,221,32.3158668,34.9430802,32.3170564,34.9449696
פתח תקווה,החליל,השופר,221,32.0803667,34.9073581,32.0791656,34.9054924
באר שבע,אריה דולצ'ין,ישראל רוקח,221,31.2631525,34.7674971,31.2622378,34.7654372
ירושלים,א-זהרה,אל-בלוטה,220,31.7488246,35.1963683,31.7469051,35.1957905
בת ים,יפה ירקוני,יצחק נפחא,219,32.0003727,34.7411025,32.0020439,34.7423287
קריית אונו,"מהרי""ץ",מרזוק ועזר,218,32.064153,34.858669,32.0660986,34.8589546
ירושלים,"אגודת ספורט בית""ר",גולומב,218,31.7553853,35.191061,31.7565876,35.1928819
מגדל העמק,שונמית,שלום עליכם,218,32.6784343,35.2362147,32.6795714,35.2343236
תל מונד,בת חן,היסמין,217,32.2477559,34.9130351,32.2472185,34.9108121
טבריה,גולומב,דגניה,217,32.7966309,35.5253537,32.7983313,35.526496
רמת גן,מרדכי,קיש,217,32.0651461,34.8199265,32.0653777,34.8176446
ראש העין,עין גדי,תורי זהב,216,32.0860861,34.9593241,32.0880183,34.9595767
נתניה,דוכיפת,הדרור,216,32.3084893,34.8817071,32.308666,34.8839948
תל מונד,הדקל,מצדה,216,32.2538131,34.9183754,32.2554622,34.9195864
אשדוד,אחד העם,שמואל הנגיד,216,31.7998886,34.6496586,31.8003582,34.6474432
דימונה,הרב אלנקוה,יצחק שמיר,216,31.0769475,35.0445417,31.0750251,35.0448489
כפר סבא,דוד רמז,ויתקין,216,32.1908744,34.9006383,32.1912943,34.8984024
באר שבע,יערי מאיר,ציזלינג אהרון,214,31.2577384,34.7621308,31.258948,34.763888
ירושלים,בעלי המלאכה,הרכב,214,31.7481604,35.2086921,31.7476953,35.2108905
לוד,יעקב אבינו,יצחק אבינו,214,31.935122,34.8962284,31.9370179,34.8958301
נוף הגליל,אגמון,עטרה,214,32.7220866,35.3349678,32.7238521,35.3358791
בית שמש,נחל איילון,שדרות נחל הקישון,214,31.7112636,34.9909898,31.711944,34.9931051
מצפה רמון,נחל איילות,נחל ניצנה,214,30.618287,34.799491,30.6170637,34.7977687
רמלה,הירדן,התבור,214,31.9205787,34.8584954,31.9192245,34.8601004
גבעתיים,בן ציון ישראלי,השניים,213,32.0783085,34.8108755,32.0780387,34.8131151
אריאל,בית לחם,חברון,213,32.1029083,35.1937976,32.1027887,35.1960537
כרמיאל,איה,בז,213,32.9007085,35.2883529,32.9022923,35.2896294
פתח תקווה,יעקב אחווה,משעול גומז,212,32.0860928,34.9057208,32.0843157,34.9048934
ירושלים,מנחם בגין,שערי ירושלים,212,31.7950681,35.1978661,31.7932234,35.1984451
ירושלים,המחנכת,המרגלית,212,31.7392144,35.180361,31.7374611,35.1794841
באר שבע,עבדת,שומרון,212,31.2461722,34.7659019,31.2442805,34.7656409
ירושלים,רבי חיא )הגדול(,רבי חייא (הגדול),212,31.7618886,35.2129853,31.7599867,35.2128929
ירושלים,אריה בן אליעזר,ורדינון,211,31.7352266,35.1967155,31.7349467,35.198922
ירושלים,האורן,האחיות,211,31.7669181,35.1614192,31.7680365,35.1596174
אשקלון,טרומפלדור,פרץ ברנשטיין,211,31.6807712,34.5767028,31.6812178,34.5745404
בית שמש,רב אבדימי,רב עמרם,210,31.7044394,34.9661402,31.703262,34.9678785
שדרות,המגינים,חומה ומגדל,210,31.5263085,34.5872845,31.5281415,34.5878253
באר שבע,יפה ירקוני,שרה לוי תנאי,210,31.2756434,34.7524819,31.276176,34.7546023
רמת גן,באר אורה,ראש פינה,210,32.0639837,34.8297735,32.0658652,34.8299268
לוד,ג'ובראן חליל ג'ובראן,סלאח א דין,209,31.9533569,34.8767149,31.9539488,34.8746124
תל מונד,הגלבוע,מצדה,209,32.2564467,34.917015,32.2545696,34.9171002
יבנה,הנחשול,הסירה,209,31.863212,34.7402865,31.8632557,34.7380793
באר שבע,אלמוג,כרכום,208,31.2305802,34.786242,31.2302429,34.7840862
נתניה,הגילה,הרינה,208,32.3141312,34.8470632,32.3159952,34.8472872
שדרות,נטע,תפוז,208,31.5445571,34.589145,31.5431128,34.5877456
עכו,כנרית,שלדג,208,32.9436199,35.0764134,32.9433935,35.0786289
אשקלון,הצנחנים,השיריונאים,208,31.68122,34.5628543,31.6827333,34.5641386
ירושלים,איתן,יציב,207,31.8540187,35.2150633,31.8558097,35.2144586
אשקלון,אברהם ברזילי,עמנואל יהודה מורנו,207,31.6803602,34.5599692,31.6787786,34.5611236
ראש העין,הרברט סיימון,נלי זקס,207,32.0855324,34.9647721,32.0836727,34.9647814
חיפה,מטרונית,שדרות דוד בן גוריון,206,32.8220988,34.9917394,32.8236957,34.9928654
חולון,אלישע,הנביאים,206,32.0167182,34.7908658,32.0185044,34.7902713
באר שבע,"דב יוסף ד""ר",ישראל ישעיהו,206,31.2563803,34.7652855,31.2565334,34.763124
לוד,נגיב מחפוז,סלאח א דין,205,31.9535799,34.8744859,31.9529907,34.8765488
ירושלים,קהילות יעקב,קהילת יעקב,205,31.8129292,35.2176575,31.8110849,35.2176305
לוד,סלאח א דין,עות'מאן בן עפאן,205,31.9527403,34.8741401,31.9521656,34.8762043
ירושלים,הדף היומי,יוסף צבי הרץ,205,31.8167094,35.2028119,31.8176638,35.2046623
גבעת זאב,שאול המלך,שבט בנימין,204,31.8614794,35.1666627,31.8616686,35.168813
אריאל,מוריה,נווה שאנן,204,32.10155,35.2040852,32.1019438,35.206196
רחובות,משולם הרב,שלום שבזי הרב,203,31.8898544,34.8179135,31.889415,34.8158238
רמת גן,יוסף צבי,עוזיאל,203,32.0652729,34.8207536,32.0635254,34.820126
בית שמש,חיים הלוי,שפת אמת,203,31.7395381,34.9962289,31.7412158,34.9953882
רמלה,הצנחנים,השריון,203,31.9323823,34.8558174,31.933678,34.8573283
אלעד,רבי יהושע,רבן גמליאל,203,32.0574457,34.9576179,32.0558328,34.9586168
לוד,סלאח א דין,עלי אבו טאלב,202,31.9523731,34.8739957,31.9517873,34.8760249
ראשון לציון,העצמאות,משה גבין,202,31.9763067,34.7991199,31.9779524,34.8000267
ירושלים,דרוק הרב,קהילת יעקב,201,31.8127648,35.2193157,31.8109649,35.2190712
בת ים,בר אילן,גבעתי,201,32.0146084,34.7478148,32.0132143,34.7464652
ראש העין,הלחי,המצפה,200,32.0857132,34.9518276,32.0873001,34.9528348
גן יבנה,חשמונאים,מתתיהו,200,31.7837426,34.6925873,31.7828393,34.6907547
טבריה,ארזים,הגפן,200,32.7807288,35.5230084,32.7823498,35.5220767
אשקלון,אילת,העצמאות,200,31.6762377,34.5710812,31.6766281,34.5731432
קריית טבעון,יהושע חנקין,מרדכי,200,32.707534,35.1226689,32.7093105,35.1229882
ראשון לציון,המשוררת רחל,השירה העברית,199,31.9754427,34.770095,31.977186,34.7696056
ירושלים,נלסון גליק,צונדק,199,31.8126332,35.19414,31.8143103,35.1934047
ירושלים,"האדמו""ר מבויאן",חי טייב,198,31.7866658,35.1715768,31.7883651,35.1709651
רמת גן,החילזון,תובל,197,32.0873951,34.8036109,32.0858204,34.8026453
באר שבע,חיים ברלב,עמוס ירקוני,197,31.2668248,34.772848,31.2664654,34.774878
ראשון לציון,גדולי ישראל,מרטין בובר,197,31.978967,34.7726165,31.9785504,34.7705917
תל מונד,מירון,מצדה,196,32.2548999,34.9155125,32.2565594,34.9162297
בית שמש,דבורה הנביאה,מרים הנביאה,196,31.704638,34.9938972,31.7034398,34.9954233
ראשון לציון,משה גבין,עמירן מידן,196,31.9782564,34.7994748,31.9766919,34.798509
מזכרת בתיה,המגן,הניצחון,196,31.8483398,34.8371774,31.8494368,34.8355489
כפר יונה,נחל בשור,נחל תנינים,196,32.31456,34.9239078,32.3128974,34.9232154
באר שבע,זלמן ארן,לנדאו חיים,196,31.255978,34.761756,31.2575004,34.7607246
ראשון לציון,דיקלה,ימית,195,31.978873,34.7634088,31.9785329,34.7613768
רמלה,"גרשון ש""ץ",שמחה הולצברג,195,31.9311172,34.8530672,31.9328669,34.8532281
ירושלים,כביש טבעת מערבי,סובב גבעת האוניברסיטה,195,31.7865127,35.1500502,31.7854073,35.1484471
ראשון לציון,אלישע כהן,משה גבין,195,31.9770097,34.7979543,31.9785476,34.7989497
נתניה,התהילה,פייר קניג,195,32.3075536,34.845691,32.3059196,34.8449425
רמלה,אריה בן אליעזר,מנשה צלח,195,31.9379901,34.8768036,31.9396203,34.8760561
רעננה,הנשיאים,וינגייט,194,32.1856791,34.8619677,32.1839969,34.861403
ירושלים,הצנחנים,חיל ההנדסה,194,31.7830158,35.2271708,31.7814604,35.2281071
חיפה,חנקין,"פיק""א",194,32.7873724,34.9990381,32.7868817,34.9970479
באר שבע,אסירי ציון,הגאולים,193,31.2490748,34.8027953,31.2485343,34.8047249
שדרות,"האר""י",חיים בר-לב,192,31.5303372,34.5839948,31.5290185,34.5853096
מודיעין-מכבים-רעות,ישעיהו הנביא,מיכה הנביא,192,31.9142258,35.0038873,31.913478,35.0020496
גבעתיים,צפרירים,רביבים,192,32.0642726,34.8083367,32.0658064,34.8074027
פתח תקווה,יחזקאל רבינזון,מבצע קדש,192,32.0968789,34.8823391,32.096869,34.8843761
ירושלים,סולטן סולימאן,شارع السلطان سليمان,192,31.7833604,35.2336157,31.7836018,35.2356239
ירושלים,סיירת דוכיפת,עמיחי פאגלין,191,31.8264709,35.2379032,31.8257475,35.2397418
גני תקווה,דגניה,מרחביה,191,32.0583287,34.8821562,32.0580461,34.8801539
מזכרת בתיה,לאה גולדברג,נעמי שמר,191,31.847242,34.84913,31.847684,34.8510846
מבשרת ציון,היצירה,השקד,191,31.7920282,35.1443714,31.7906056,35.1432393
הרצליה,כיסופים,שבטי ישראל,191,32.1545355,34.8354895,32.156049,34.8345363
בית שמש,בן עזאי,רבי יוסי בן קיסמא,191,31.7360399,34.9976103,31.7362881,34.9996054
שדרות,ישיבת ציון,נתן אלבז,191,31.5290071,34.5946698,31.5306684,34.5951655
בני ברק,ישמח משה,קדושת יום טוב,191,32.0806499,34.8388172,32.0813505,34.8369711
ראשון לציון,הרב גוטמן,יערי,190,31.948163,34.809241,31.9496165,34.8103063
חולון,ההגנה,זאב ז'בוטינסקי,190,32.024992,34.7801219,32.0250673,34.7781077
שדרות,חטיבת כרמלי,קרן היסוד,189,31.5311186,34.5923562,31.5297449,34.5911786
ירושלים,אגרות משה,קלכהיים,189,31.8103679,35.2210676,31.8091608,35.2224782
מבשרת ציון,גדוד מוריה,הראל,188,31.7995492,35.1474978,31.8009154,35.1486645
באר שבע,רמלה,תמנע,188,31.2416827,34.7653674,31.2422963,34.7672066
עפולה,לשם,תרשיש,187,32.6134632,35.30658,32.6122534,35.3079692
ראשון לציון,ד'ארבלה,הרב טייב,187,31.95514,34.8180535,31.9537778,34.8168912
הרצליה,הרב עוזיאל,שירת גאולים,187,32.1556807,34.8386447,32.1541383,34.8378559
נס ציונה,המולדת,שיבת ציון,187,31.9283122,34.7919438,31.9269266,34.7930597
רמלה,חיים אשר,סטרומה,186,31.9336744,34.8706825,31.9349705,34.8694294
בית שמש,נחל נועם,נחל נעם,186,31.7115836,34.9920536,31.709914,34.991898
אשקלון,הדובדבן,יצחק בן צבי,186,31.6752317,34.5737592,31.6740433,34.5723736
מגדל,הכלניות,הצאלון,186,32.8407711,35.4942557,32.8395667,35.4956353
בית שמש,הרב אברהם שפירא,הרב קוק,186,31.7111649,35.0032387,31.7128211,35.002984
לוד,דובב,יוספטל,185,31.9440858,34.8745023,31.9445094,34.8764016
ירושלים,מזל גדי,שמחה הולצברג,185,31.8369609,35.2320968,31.8353059,35.2322435
ירושלים,אדם,אייזיק רמבה,185,31.7505264,35.2303931,31.7503526,35.2284523
ירושלים,אל-מוטלה,עדן,184,31.7331974,35.2068586,31.7348537,35.2068344
מודיעין-מכבים-רעות,עמק החולה,עמק יזרעאל,184,31.8968839,35.0154927,31.8957665,35.0169325
כרמיאל,בירנית,משעול תפן,183,32.9092833,35.2943879,32.9106268,35.2932475
חיפה,זרובבל,שדרות מוריה,183,32.7939492,34.9855094,32.795502,34.9848517
כפר תבור,שעורה,תילתן,183,32.6905715,35.4217344,32.6889796,35.4222414
נתניה,בוסל,שמואל דיין,183,32.3109324,34.8781607,32.3125495,34.8785356
באר שבע,פרופ' וילהלמינה כהן,שושנה דמארי,183,31.2743953,34.7532726,31.2752233,34.7516088
טבריה,ביריניקי,הנביאים,183,32.7890095,35.5148683,32.7889029,35.5129161
לוד,אלי כהן,הרץ הנרי,183,31.9501586,34.8894539,31.9486595,34.890247
לוד,סלאח א דין,עומר עבד אלעזיז,183,31.9519892,34.8738481,31.9514941,34.8756941
נתניה,מנחם בגין,מרדכי גור,183,32.2746936,34.845126,32.2739986,34.8433666
באר שבע,זוהרה אלפסיה,שרה לוי תנאי,182,31.2767495,34.7542818,31.2762839,34.7524434
ירושלים,אטינגר יצחק,עקיבא אטינגר,182,31.7630083,35.1767753,31.7646021,35.1763293
בית שמש,נחל קדרון,שדרות נהר הירדן,182,31.7148256,35.0009347,31.7163421,35.0002111
כפר יונה,בשן,גלעד,182,32.3234056,34.9234284,32.3231976,34.9253467
ראשון לציון,אריה שפטל,מורדכי יברבוים,182,31.9609322,34.7946199,31.9617483,34.7929533
עפולה,אופק,קישון,181,32.6120113,35.2777225,32.6111945,35.2793997
נהריה,ויצמן,נורדאו,181,33.012062,35.093986,33.0104605,35.0936293
יקנעם עילית,בוסתן,המצוק,181,32.6372117,35.074277,32.6377725,35.0760932
נתניה,מעפילי אגוז,סיגלית,181,32.2740657,34.8480292,32.2727844,34.8468415
שדרות,הרצוג,יוסף קארו,181,31.5303152,34.6063936,31.5306611,34.6082554
בת ים,גינוסר,עגנון,180,32.0170932,34.7395937,32.0185557,34.7404211
באר שבע,זלמן ארן,שדרות גולדה מאיר,180,31.2562066,34.7622124,31.2576615,34.7613885
באר שבע,עדה גלר,פלורי אשר,179,31.2661935,34.7521497,31.2669514,34.7504832
לוד,בן יהודה,החלוץ,179,31.9561233,34.903237,31.9568255,34.901529
אשדוד,החרצית,הרותם,179,31.7894876,34.6524977,31.790052,34.6507248
קריית אונו,יצחק שדה,כצנלסון,178,32.0616218,34.8494736,32.0603184,34.8505714
בית שמש,הרב מרדכי אליהו,הרב קוק,178,31.708496,35.0029413,31.7100926,35.0028036
ראשון לציון,ההתישבות,חצור,178,31.9677535,34.8242994,31.9686407,34.8258684
זכרון יעקב,בזלת,הפנינה,178,32.5650055,34.9413821,32.5634711,34.9408464
באר שבע,גולדה מאיר,זלמן ארן,177,31.2562468,34.7622844,31.2576819,34.7614702
חריש,טופז,טורקיז,177,32.4643077,35.0443641,32.4645285,35.046232
ראשון לציון,העמית יצחק,שמעון ישראלי,177,31.9898859,34.753412,31.9905886,34.7517288
נהריה,חיים לבב,שמעון שהרי,176,33.0183151,35.1095616,33.0171991,35.1082256
כפר יונה,נחל בשור,נחל חרוד,176,32.3165461,34.9246596,32.3150417,34.9240867
לוד,מרדכי וחווה פרימן,סג'רה,176,31.9540136,34.9039507,31.9525953,34.9031344
אלפי מנשה,ארבל,מירון,175,32.1704213,35.0074188,32.1688434,35.0074207
גן יבנה,אלתרמן נתן,יהודה עמיחי,175,31.794798,34.7067302,31.7951661,34.7085338
פתח תקווה,בת שלמה,ראש פינה,175,32.1036563,34.8742459,32.1031833,34.8724713
חיפה,אהרון צייטלין,יצחק בן צבי,175,32.8187375,35.0678143,32.8179444,35.0694312
אשקלון,דרום אפריקה,הרקפת,174,31.6745545,34.5636723,31.6761006,34.5639198
הרצליה,אברהם הרצפלד,דוד המלך,173,32.1781349,34.8146693,32.179507,34.815525
כפר תבור,יערה,תאנה,172,32.6885726,35.4197515,32.6901166,35.4198607
אשקלון,חופית,עמישב,172,31.6762932,34.5883201,31.6755002,34.5867605
מודיעין-מכבים-רעות,גולדה מאיר,לוי אשכול,172,31.9017245,34.9764664,31.9006419,34.9777637
באר שבע,גדעון האוזנר,נחום שריג,172,31.2858863,34.8058619,31.2866406,34.8074379
דימונה,דוגית,מורג,172,31.0691101,35.0407023,31.0700031,35.0392327
אשדוד,שבט בנימין,שבט יהודה,171,31.7776108,34.6384793,31.7761634,34.6378577
